;mel_creation_time_seconds;
0;1.6886141;0.008235278
1;0.0058392;0.003111368
2;0.0057811;
3;0.0096056;
4;0.0057991;
5;0.0122403;
6;0.007626;
7;0.0091492;
8;0.0071328;
9;0.0080534;
10;0.0098734;
11;0.0070267;
12;0.0053564;
13;0.0090305;
14;0.0067786;
15;0.0077485;
16;0.0057431;
17;0.0075001;
18;0.0058615;
19;0.0053664;
20;0.0090654;
21;0.0062334;
22;0.0090866;
23;0.0068156;
24;0.0069459;
25;0.0057921;
26;0.0056698;
27;0.0066161;
28;0.0057896;
29;0.0134976;
30;0.0074231;
31;0.0087974;
32;0.0058325;
33;0.0095961;
34;0.006959;
35;0.008045;
36;0.0078841;
37;0.0095849;
38;0.0071072;
39;0.0084993;
40;0.007697;
41;0.0086926;
42;0.0078149;
43;0.0099566;
44;0.0077095;
45;0.0073997;
46;0.0065849;
47;0.0089881;
48;0.0054075;
49;0.0056079;
50;0.0080504;
51;0.0073995;
52;0.0084265;
53;0.0062613;
54;0.0062596;
55;0.010495;
56;0.0090861;
57;0.0068776;
58;0.0056831;
59;0.0134795;
60;0.0088877;
61;0.0069736;
62;0.009898;
63;0.0054686;
64;0.0058478;
65;0.0092419;
66;0.0099325;
67;0.008459;
68;0.0089611;
69;0.0063706;
70;0.0094994;
71;0.0063875;
72;0.0080248;
73;0.0097345;
74;0.012116;
75;0.0094396;
76;0.0111251;
77;0.0092499;
78;0.0076997;
79;0.0121788;
80;0.0085825;
81;0.008829;
82;0.006278;
83;0.0083445;
84;0.0058317;
85;0.0237025;
86;0.0080184;
87;0.0062612;
88;0.0183895;
89;0.0076309;
90;0.0070261;
91;0.0075299;
92;0.0054263;
93;0.0074193;
94;0.0047184;
95;0.0088088;
96;0.0093799;
97;0.0064986;
98;0.008753;
99;0.0089027;
100;0.0072597;
101;0.0063234;
102;0.0085972;
103;0.009482;
104;0.0168161;
105;0.0093386;
106;0.0107354;
107;0.0051113;
108;0.0116223;
109;0.0053855;
110;0.0101353;
111;0.0061746;
112;0.0124802;
113;0.0050203;
114;0.0101445;
115;0.0086252;
116;0.0097049;
117;0.0078358;
118;0.008724;
119;0.0047422;
120;0.0089077;
121;0.0054821;
122;0.0089924;
123;0.007433;
124;0.0086878;
125;0.0061772;
126;0.0066488;
127;0.0115559;
128;0.0096471;
129;0.0069239;
130;0.0084369;
131;0.0053891;
132;0.0069701;
133;0.009136;
134;0.0057757;
135;0.0088941;
136;0.0094553;
137;0.0082954;
138;0.0048722;
139;0.0104977;
140;0.0060549;
141;0.0081254;
142;0.0068093;
143;0.0127852;
144;0.0085932;
145;0.0095848;
146;0.0070335;
147;0.0100265;
148;0.009318;
149;0.0078014;
150;0.0090157;
151;0.0095774;
152;0.0114386;
153;0.0054617;
154;0.0086225;
155;0.0092289;
156;0.010873;
157;0.0066396;
158;0.0088281;
159;0.0060816;
160;0.0105719;
161;0.0127221;
162;0.0058261;
163;0.0065503;
164;0.0068493;
165;0.0061177;
166;0.0103742;
167;0.0054032;
168;0.0093331;
169;0.0070395;
170;0.0116266;
171;0.0087026;
172;0.009104;
173;0.0101633;
174;0.0074958;
175;0.0111154;
176;0.0080751;
177;0.0151729;
178;0.012574;
179;0.005921;
180;0.0091304;
181;0.0067992;
182;0.013381;
183;0.0213577;
184;0.0108884;
185;0.0093825;
186;0.0101386;
187;0.010566;
188;0.0176915;
189;0.0144247;
190;0.011921;
191;0.0228141;
192;0.0064323;
193;0.0117746;
194;0.0105617;
195;0.0061125;
196;0.0076784;
197;0.0089423;
198;0.0124699;
199;0.0063259;
200;0.0094768;
201;0.0052204;
202;0.0062947;
203;0.0094043;
204;0.0050583;
205;0.0088049;
206;0.0054498;
207;0.0071829;
208;0.0058797;
209;0.011553;
210;0.006085;
211;0.0066105;
212;0.0068582;
213;0.0046423;
214;0.0087665;
215;0.005544;
216;0.0061421;
217;0.0094458;
218;0.0050083;
219;0.0091045;
220;0.0053648;
221;0.0082376;
222;0.0119301;
223;0.0122272;
224;0.0110336;
225;0.0078668;
226;0.0124661;
227;0.0132333;
228;0.0111041;
229;0.010049;
230;0.0093497;
231;0.0064879;
232;0.0097277;
233;0.0072018;
234;0.0113153;
235;0.0046955;
236;0.0100146;
237;0.010766;
238;0.0113241;
239;0.0092685;
240;0.0084404;
241;0.0078563;
242;0.0071689;
243;0.0079844;
244;0.0055006;
245;0.0079543;
246;0.0071267;
247;0.0053546;
248;0.0077905;
249;0.0059857;
250;0.005442;
251;0.0085661;
252;0.0059311;
253;0.0083412;
254;0.0063458;
255;0.0104284;
256;0.0055119;
257;0.0063511;
258;0.0091486;
259;0.0068678;
260;0.0105449;
261;0.0068086;
262;0.0143109;
263;0.0186405;
264;0.0127988;
265;0.011235;
266;0.0080225;
267;0.0133881;
268;0.0125741;
269;0.0139283;
270;0.0073501;
271;0.01067;
272;0.0080003;
273;0.0086774;
274;0.0102329;
275;0.0081061;
276;0.0130711;
277;0.0093327;
278;0.0114938;
279;0.0119693;
280;0.006932;
281;0.0119732;
282;0.010862;
283;0.0088886;
284;0.0144453;
285;0.0119881;
286;0.0072573;
287;0.0092146;
288;0.0070334;
289;0.0106006;
290;0.0098817;
291;0.0234013;
292;0.0112924;
293;0.0067672;
294;0.0060338;
295;0.0103169;
296;0.0102382;
297;0.0068882;
298;0.0101664;
299;0.0075317;
300;0.0108865;
301;0.0050489;
302;0.009356;
303;0.0071285;
304;0.0083183;
305;0.0056285;
306;0.0076128;
307;0.0055799;
308;0.0065821;
309;0.011831;
310;0.0068429;
311;0.0069254;
312;0.0067852;
313;0.0089246;
314;0.0071352;
315;0.0094657;
316;0.0051448;
317;0.005817;
318;0.0099911;
319;0.0098725;
320;0.0062788;
321;0.008256;
322;0.0072258;
323;0.0101497;
324;0.0091597;
325;0.0089244;
326;0.007751;
327;0.0098537;
328;0.007135;
329;0.0083706;
330;0.0074028;
331;0.007401;
332;0.0069527;
333;0.0086561;
334;0.007731;
335;0.0097299;
336;0.0082869;
337;0.0080526;
338;0.0094422;
339;0.0133568;
340;0.0111581;
341;0.0167032;
342;0.0090133;
343;0.0099372;
344;0.0068648;
345;0.0130925;
346;0.0104538;
347;0.007242;
348;0.0126339;
349;0.0070152;
350;0.0115197;
351;0.0100992;
352;0.0071474;
353;0.0090007;
354;0.0083999;
355;0.0116382;
356;0.0130895;
357;0.0084351;
358;0.0115843;
359;0.0099776;
360;0.0089797;
361;0.0106522;
362;0.0057806;
363;0.007186;
364;0.0063735;
365;0.005118;
366;0.0082199;
367;0.0080895;
368;0.0087045;
369;0.0068887;
370;0.0101292;
371;0.0061293;
372;0.0089791;
373;0.0062211;
374;0.0050425;
375;0.0099031;
376;0.0073519;
377;0.0081392;
378;0.0069903;
379;0.0084893;
380;0.0057218;
381;0.007909;
382;0.0059656;
383;0.0083833;
384;0.0058055;
385;0.0054201;
386;0.0077701;
387;0.0071328;
388;0.0073376;
389;0.0092517;
390;0.0091626;
391;0.0326548;
392;0.0090756;
393;0.0076602;
394;0.0065357;
395;0.0068777;
396;0.0088077;
397;0.0065986;
398;0.0092085;
399;0.0052264;
400;0.0070451;
401;0.005533;
402;0.0062032;
403;0.0093761;
404;0.0071753;
405;0.0080948;
406;0.0057142;
407;0.0077275;
408;0.0046332;
409;0.0044786;
410;0.008891;
411;0.0070054;
412;0.0072909;
413;0.0075139;
414;0.0053062;
415;0.0066237;
416;0.0049866;
417;0.0072817;
418;0.0073024;
419;0.0105491;
420;0.0052526;
421;0.0067059;
422;0.0094604;
423;0.0061739;
424;0.0117257;
425;0.0084003;
426;0.0062506;
427;0.0121291;
428;0.0084066;
429;0.0091911;
430;0.0071741;
431;0.0092432;
432;0.006778;
433;0.0097611;
434;0.0061364;
435;0.0072895;
436;0.0048072;
437;0.005205;
438;0.0078045;
439;0.0072274;
440;0.008777;
441;0.009048;
442;0.0076006;
443;0.0075151;
444;0.0088906;
445;0.0072635;
446;0.0111431;
447;0.0065716;
448;0.0084864;
449;0.0046553;
450;0.0068541;
451;0.0101266;
452;0.0119724;
453;0.0150799;
454;0.0542806;
455;0.0064592;
456;0.0211562;
457;0.0085582;
458;0.0094174;
459;0.0068493;
460;0.0136832;
461;0.0071269;
462;0.008164;
463;0.0072585;
464;0.0106273;
465;0.0056101;
466;0.0075439;
467;0.0071069;
468;0.0104053;
469;0.0073279;
470;0.0106829;
471;0.0043601;
472;0.0062801;
473;0.00598;
474;0.0059801;
475;0.008999;
476;0.0072627;
477;0.0102519;
478;0.0132524;
479;0.0060646;
480;0.0049297;
481;0.0098756;
482;0.0051016;
483;0.0108346;
484;0.0103022;
485;0.0124626;
486;0.0094852;
487;0.0108376;
488;0.0098958;
489;0.0090489;
490;0.0092455;
491;0.0083869;
492;0.0076097;
493;0.0148896;
494;0.013098;
495;0.0063741;
496;0.0110621;
497;0.0070081;
498;0.0084739;
499;0.0065478;
500;0.00645;
501;0.0053991;
502;0.004948;
503;0.0259015;
504;0.0080773;
505;0.0180733;
506;0.0074875;
507;0.0071017;
508;0.0083807;
509;0.0069782;
510;0.0076674;
511;0.0048193;
512;0.0047557;
513;0.0071516;
514;0.0044595;
515;0.0081704;
516;0.0122203;
517;0.0068521;
518;0.006391;
519;0.0095927;
520;0.0093889;
521;0.0097373;
522;0.0059074;
523;0.0050407;
524;0.0065308;
525;0.0057594;
526;0.0108319;
527;0.0069951;
528;0.0091443;
529;0.0052494;
530;0.0096414;
531;0.0106991;
532;0.010075;
533;0.0125919;
534;0.0069092;
535;0.0088694;
536;0.0092856;
537;0.0107776;
538;0.0084001;
539;0.0101699;
540;0.0064417;
541;0.0060103;
542;0.00562;
543;0.0106963;
544;0.0069398;
545;0.0107265;
546;0.0132283;
547;0.0082713;
548;0.0091678;
549;0.0066686;
550;0.0133056;
551;0.0067178;
552;0.0097981;
553;0.0080916;
554;0.0092945;
555;0.0100231;
556;0.0078008;
557;0.0091569;
558;0.0080066;
559;0.0084938;
560;0.0090998;
561;0.0096187;
562;0.006361;
563;0.0122219;
564;0.0071488;
565;0.0111178;
566;0.0116204;
567;0.0158298;
568;0.0068184;
569;0.0074531;
570;0.0128259;
571;0.0093756;
572;0.00723;
573;0.0115714;
574;0.0101239;
575;0.0117345;
576;0.0112657;
577;0.0054884;
578;0.0085848;
579;0.0054966;
580;0.0236036;
581;0.0061677;
582;0.0083452;
583;0.0090793;
584;0.0091389;
585;0.0061494;
586;0.0059619;
587;0.0095136;
588;0.0074522;
589;0.0073578;
590;0.0052481;
591;0.0083176;
592;0.0101003;
593;0.0105;
594;0.0057395;
595;0.0094292;
596;0.0076467;
597;0.008765;
598;0.0074759;
599;0.0073783;
600;0.0051371;
601;0.0087206;
602;0.0051517;
603;0.0051852;
604;0.00768;
605;0.0055348;
606;0.0051546;
607;0.0091499;
608;0.0083027;
609;0.0095489;
610;0.0068301;
611;0.0087931;
612;0.0049758;
613;0.0074848;
614;0.0049092;
615;0.0048829;
616;0.0091216;
617;0.0086559;
618;0.0079687;
619;0.0047526;
620;0.0061423;
621;0.0058139;
622;0.0055586;
623;0.0112241;
624;0.0116631;
625;0.0076282;
626;0.0082503;
627;0.0102033;
628;0.0073432;
629;0.0098294;
630;0.0070949;
631;0.0058508;
632;0.0050496;
633;0.0061275;
634;0.0058724;
635;0.0072225;
636;0.0049374;
637;0.0099447;
638;0.0085031;
639;0.0070662;
640;0.0086461;
641;0.0056463;
642;0.0083822;
643;0.0062177;
644;0.00833;
645;0.0066655;
646;0.0085976;
647;0.0084023;
648;0.0084179;
649;0.006916;
650;0.0095464;
651;0.0067256;
652;0.0060109;
653;0.0086257;
654;0.0065538;
655;0.0072801;
656;0.005796;
657;0.0056168;
658;0.0068501;
659;0.0056371;
660;0.0080328;
661;0.0073384;
662;0.0080791;
663;0.0070821;
664;0.0083019;
665;0.0062995;
666;0.006345;
667;0.0101995;
668;0.006768;
669;0.0090818;
670;0.0090545;
671;0.0070121;
672;0.0063647;
673;0.0075267;
674;0.0064304;
675;0.0057936;
676;0.006336;
677;0.0056618;
678;0.0082908;
679;0.0054112;
680;0.0046288;
681;0.0088276;
682;0.0063683;
683;0.010681;
684;0.0070835;
685;0.0074503;
686;0.0053613;
687;0.008847;
688;0.0052849;
689;0.0053623;
690;0.0063329;
691;0.0065409;
692;0.0058714;
693;0.0059729;
694;0.0106429;
695;0.0065045;
696;0.0127951;
697;0.0085481;
698;0.0095063;
699;0.0056159;
700;0.0061825;
701;0.0084054;
702;0.0087668;
703;0.0062578;
704;0.0051611;
705;0.0076309;
706;0.0066932;
707;0.0089388;
708;0.006983;
709;0.0106148;
710;0.0063595;
711;0.009129;
712;0.0053071;
713;0.0057597;
714;0.0083559;
715;0.0073474;
716;0.0085705;
717;0.0074347;
718;0.006462;
719;0.0043071;
720;0.0057815;
721;0.0074074;
722;0.006362;
723;0.0085748;
724;0.006948;
725;0.0097762;
726;0.0051005;
727;0.0054002;
728;0.00879;
729;0.0073925;
730;0.0082919;
731;0.0050975;
732;0.004374;
733;0.0119748;
734;0.0063327;
735;0.0072032;
736;0.0048185;
737;0.0124999;
738;0.0098021;
739;0.007072;
740;0.0084784;
741;0.0063092;
742;0.0047224;
743;0.0086896;
744;0.0086921;
745;0.0077056;
746;0.0051108;
747;0.0058828;
748;0.008771;
749;0.0084481;
750;0.0093781;
751;0.0086504;
752;0.0046764;
753;0.0054693;
754;0.0077575;
755;0.0052348;
756;0.0044293;
757;0.0089414;
758;0.0048488;
759;0.0049905;
760;0.0085924;
761;0.0052932;
762;0.0087857;
763;0.0051091;
764;0.0087508;
765;0.0079583;
766;0.01098;
767;0.0111335;
768;0.0082377;
769;0.0053024;
770;0.0081787;
771;0.0044639;
772;0.0053824;
773;0.0150267;
774;0.0067219;
775;0.0057128;
776;0.0047085;
777;0.0082692;
778;0.0049056;
779;0.0070068;
780;0.0059928;
781;0.0063851;
782;0.0085669;
783;0.0075486;
784;0.0099589;
785;0.0050747;
786;0.0078521;
787;0.0075529;
788;0.0085759;
789;0.0075184;
790;0.0046886;
791;0.0076106;
792;0.0054026;
793;0.0082556;
794;0.0077293;
795;0.0077291;
796;0.0064527;
797;0.0070671;
798;0.0079265;
799;0.0076319;
800;0.0071234;
801;0.0050097;
802;0.0054266;
803;0.0102383;
804;0.0051145;
805;0.0072834;
806;0.0064228;
807;0.0070586;
808;0.0045288;
809;0.0076194;
810;0.0229625;
811;0.00546;
812;0.0065486;
813;0.0069759;
814;0.0057868;
815;0.0069385;
816;0.0054045;
817;0.0076597;
818;0.0069984;
819;0.0050857;
820;0.0105518;
821;0.0097193;
822;0.0082298;
823;0.0072839;
824;0.0094118;
825;0.0053537;
826;0.0080967;
827;0.0068315;
828;0.0081211;
829;0.0067366;
830;0.0089845;
831;0.0045509;
832;0.0050103;
833;0.0092403;
834;0.0068951;
835;0.0078317;
836;0.0066041;
837;0.0062981;
838;0.0074099;
839;0.0074764;
840;0.0118623;
841;0.0080192;
842;0.0052777;
843;0.0064905;
844;0.0076931;
845;0.0079539;
846;0.00931;
847;0.00882;
848;0.0095593;
849;0.007331;
850;0.0073725;
851;0.0100687;
852;0.0083213;
853;0.0088634;
854;0.0080133;
855;0.0094094;
856;0.004656;
857;0.005255;
858;0.0096406;
859;0.0062248;
860;0.0066923;
861;0.0052658;
862;0.009594;
863;0.0094512;
864;0.0083462;
865;0.0070189;
866;0.0097635;
867;0.0053047;
868;0.0070758;
869;0.0091608;
870;0.0044103;
871;0.0083739;
872;0.0056338;
873;0.0094479;
874;0.0058529;
875;0.0084985;
876;0.0085886;
877;0.0091959;
878;0.0060699;
879;0.0062341;
880;0.0089588;
881;0.0082478;
882;0.0204883;
883;0.008929;
884;0.0076894;
885;0.005344;
886;0.0053561;
887;0.0107053;
888;0.0067573;
889;0.0092363;
890;0.005859;
891;0.0084446;
892;0.0082488;
893;0.0087639;
894;0.00778;
895;0.0085301;
896;0.0048737;
897;0.0057109;
898;0.0071374;
899;0.0058853;
900;0.0074812;
901;0.0075383;
902;0.005991;
903;0.0056646;
904;0.0050466;
905;0.0079544;
906;0.0052606;
907;0.007591;
908;0.0087478;
909;0.006112;
910;0.0079571;
911;0.0053862;
912;0.0086842;
913;0.0074836;
914;0.0096798;
915;0.0087435;
916;0.0078693;
917;0.0061678;
918;0.0090026;
919;0.0076113;
920;0.0082729;
