processing_time_seconds;
1.4494595;0.028508332
0.0128491;0.011741748
0.0182828;
0.014994;
0.0121577;
0.0373328;
0.0290414;
0.0350968;
0.0285687;
0.0170741;
0.0330957;
0.0223049;
0.0157;
0.0212719;
0.0183906;
0.0169195;
0.0172589;
0.0176029;
0.0234164;
0.0150552;
0.0168594;
0.0227986;
0.0268387;
0.0309587;
0.0140731;
0.0128148;
0.019914;
0.0144052;
0.0194793;
0.0603479;
0.0225444;
0.0165411;
0.0176239;
0.0229227;
0.0148388;
0.0126714;
0.0331173;
0.0257703;
0.013319;
0.0142824;
0.027202;
0.0144149;
0.0236489;
0.0271944;
0.0219774;
0.0106748;
0.0326153;
0.0237868;
0.0111748;
0.0167501;
0.0132965;
0.0187283;
0.0239223;
0.0208501;
0.0131033;
0.0327108;
0.0177538;
0.0172755;
0.0088599;
0.0521329;
0.0162008;
0.0192327;
0.0185632;
0.0096466;
0.0075122;
0.015983;
0.0205062;
0.017944;
0.0136565;
0.0232133;
0.0319489;
0.0209997;
0.0219393;
0.0421489;
0.0504832;
0.0319836;
0.0513588;
0.0190101;
0.0165917;
0.0434754;
0.0499918;
0.0219753;
0.0323221;
0.0221995;
0.017551;
0.0241904;
0.027428;
0.016727;
0.0313269;
0.0513962;
0.0295069;
0.0444998;
0.020153;
0.0192105;
0.0176779;
0.0453072;
0.0270949;
0.0111062;
0.0241662;
0.0204908;
0.0189214;
0.0178336;
0.0152494;
0.0191354;
0.0617388;
0.0222893;
0.0166016;
0.0109054;
0.0342332;
0.0118091;
0.0243387;
0.015251;
0.0528461;
0.0133264;
0.0325807;
0.0323447;
0.0193422;
0.0248369;
0.0095995;
0.0137001;
0.0177595;
0.010277;
0.0162288;
0.0340411;
0.0138858;
0.0200588;
0.0210257;
0.0266792;
0.0117367;
0.012937;
0.0111455;
0.0140573;
0.0313724;
0.0119352;
0.0099643;
0.0165966;
0.0418457;
0.016838;
0.0141814;
0.0278862;
0.023352;
0.0125529;
0.0130298;
0.0378748;
0.0319583;
0.0178088;
0.0185136;
0.0189057;
0.0334168;
0.0343764;
0.031566;
0.0186094;
0.0245022;
0.0141727;
0.0118047;
0.0317597;
0.0255138;
0.0146653;
0.0202573;
0.0252659;
0.017088;
0.03752;
0.0144357;
0.0158396;
0.0099266;
0.0201333;
0.0236407;
0.0151365;
0.0185951;
0.0145045;
0.0193413;
0.027315;
0.0217309;
0.0254399;
0.0169829;
0.0197854;
0.0189055;
0.0528424;
0.0489568;
0.0190018;
0.0110733;
0.0105353;
0.0285894;
0.0528327;
0.0157657;
0.0163198;
0.0325949;
0.0165346;
0.0362412;
0.030175;
0.0172851;
0.0298976;
0.0110879;
0.0340281;
0.0201697;
0.0190253;
0.0166438;
0.021914;
0.0365611;
0.0177182;
0.015382;
0.0184323;
0.0162848;
0.0311726;
0.0101994;
0.0137524;
0.0215448;
0.0168581;
0.0251894;
0.0492281;
0.0131503;
0.0114509;
0.0122116;
