,Frame-1,Frame-2,Frame-3,Frame-4,Frame-5,Frame-6,Frame-7,Frame-8,Frame-9,Frame-10,Frame-11,Frame-12,Frame-13,Frame-14,Frame-15,Frame-16,Frame-17,Frame-18,Frame-19,Frame-20,Frame-21,Frame-22,Frame-23,Frame-24,Frame-25,Frame-26,Frame-27,Frame-28,Frame-29,Frame-30,Frame-31,Frame-32,Frame-33,Frame-34,Frame-35,Frame-36,Frame-37,Frame-38,Frame-39,Frame-40,Frame-41,Frame-42,Frame-43,Frame-44,Frame-45,Frame-46,Frame-47,Frame-48,Frame-49,Frame-50,Frame-51,Frame-52,Frame-53,Frame-54,Frame-55,Frame-56,Frame-57,Frame-58,Frame-59,Frame-60,Frame-61,Frame-62,Frame-63,Frame-64,Frame-65,Frame-66,Frame-67,Frame-68,Frame-69,Frame-70,Frame-71
C,0.16773884,0.1970684,0.18180633,0.16786417,0.20423327,0.23409703,0.51688063,0.5633754,0.4352428,0.98456997,0.31459248,0.23742945,0.5160711,0.34428307,0.5487748,0.39463556,0.40849537,0.4718774,1.0,1.0,1.0,0.7536028,0.4537623,0.31447116,0.2584948,0.118160225,0.28023714,0.2883028,0.10790079,1.0,0.24995078,0.5050608,0.41293308,0.34537777,0.27812582,0.64549065,0.63527876,0.8357816,0.9720836,1.0,0.18995966,0.058709666,0.10678437,0.28856105,0.118010245,0.035074547,0.19356623,0.10169213,0.11069314,0.15636332,0.14699179,0.037843253,0.16117315,0.21905567,0.22372095,0.19963464,0.62409574,0.6942687,0.37713397,0.2232629,0.12172606,0.16200817,0.09867843,0.12586623,0.54711366,1.0,0.590913,0.3719407,0.16448143,0.25938207,0.54961586
C#,0.22240975,0.108126126,0.074753635,0.07249827,0.19063608,0.31984124,0.27335635,0.2082027,0.29567096,1.0,0.20152816,0.21822383,0.57933694,0.6024497,0.65180105,0.4966033,0.27452886,0.27315658,0.3459549,0.32905984,0.4862391,0.6449596,1.0,1.0,0.90131515,0.4181728,0.49217305,0.21072948,0.15821497,0.552428,0.27507216,0.4299747,0.37143365,0.3184421,0.22793433,0.42642877,0.5507762,0.71213204,1.0,0.7756191,0.39960822,0.1306956,0.06377786,0.031805128,0.015733695,0.030148946,0.23154284,0.08833807,0.029903252,0.070696436,0.21730873,0.102210626,0.25836444,0.3054623,0.25427544,0.15409784,0.5623943,0.93306756,0.37064615,0.13314992,0.09331983,0.15719526,0.09524215,0.104886696,0.33844852,0.84601504,0.47025138,0.3377926,0.10537423,0.24894959,0.43784934
D,0.51677823,0.26429155,0.23290555,0.20665357,0.32885337,0.43275225,0.30180788,0.097186446,0.13604277,0.5762038,0.16525166,0.19221023,0.51717526,0.7580945,0.6227509,0.3240371,0.22625308,0.30026802,0.30369487,0.19593108,0.26204565,0.4762531,0.8931273,0.61724794,0.33719638,0.10176072,0.17017742,0.37363845,0.5083719,0.21648675,0.78206486,0.6576438,0.5480245,0.4898245,0.32475394,0.42280015,0.41903263,0.40691346,0.62580514,0.5038255,0.8146626,0.382737,0.12682588,0.032940548,0.020116802,0.07385952,0.23252665,0.15065984,0.09704471,0.14564157,0.21920185,0.12594602,0.21146484,0.19819067,0.17247103,0.15329784,0.6001546,0.64942414,0.13854425,0.07033903,0.046154622,0.08773786,0.06690137,0.0809454,0.25325102,0.41167632,0.2934451,0.32874626,0.19665515,0.24778287,0.307012
D#,0.8484129,0.594936,0.4727835,0.48248464,0.76053524,0.51800865,0.2511727,0.07748704,0.113245554,0.49770993,0.17011479,0.1940794,0.6475686,0.9654973,1.0,0.7488063,0.6791836,0.44242623,0.26994002,0.29364473,0.33787116,0.46243507,0.34516853,0.20075643,0.116937615,0.019598123,0.21060045,1.0,1.0,0.15511678,1.0,0.80793375,0.7799746,0.7464537,0.6427844,0.5366912,0.3249422,0.35448286,0.45945555,0.3104615,1.0,1.0,0.56102854,0.11641551,0.059431616,0.22120418,0.19634134,0.35162637,0.11536894,0.12329069,0.13254064,0.0602169,0.19601893,0.24762729,0.38187003,0.49960637,1.0,0.29983062,0.11543363,0.06625493,0.04270517,0.102134675,0.10158064,0.15880081,0.28632298,0.517366,0.490967,0.5170182,0.52784663,0.5383673,0.52918357
E,0.89944506,0.8271782,0.7446873,0.7367834,1.0,0.75619006,0.30349278,0.096517,0.17370076,0.78058743,0.31003964,0.45345375,0.9268412,0.87383676,0.67319787,0.5250395,0.46816176,0.36197,0.385855,0.19799824,0.23465021,0.44124585,0.22898762,0.10670403,0.07934502,0.020112928,0.18959834,0.815106,0.709156,0.14894536,0.8058437,0.81056106,0.74338275,0.68871444,0.541698,0.5386699,0.31214717,0.32949692,0.39836422,0.23156838,0.5002669,0.6795407,1.0,0.9777282,0.5026966,0.6674741,0.18402402,0.6812107,0.62704676,0.6927705,0.2420399,0.037688836,0.32346734,0.57187575,0.9411314,1.0,0.8731724,0.29205164,0.10369505,0.07241704,0.04952365,0.1238188,0.0745742,0.078688525,0.30450243,0.7329022,0.7613904,0.81531817,0.79700655,0.8124591,0.8279506
F,1.0,1.0,1.0,1.0,0.9774243,1.0,0.50418144,0.19366908,0.3430479,0.9758004,0.5749746,0.7308636,1.0,1.0,0.46914506,0.27750587,0.33827928,0.57513046,0.75867414,0.20615387,0.20529984,0.3664943,0.30119509,0.1642275,0.1411984,0.062247682,0.11504872,0.19659218,0.082225725,0.090502344,0.93869513,0.9344192,0.75993574,0.7183793,0.59206456,0.5163814,0.2096456,0.24581417,0.38763592,0.31166816,0.101066224,0.059069734,0.20837201,1.0,1.0,1.0,0.17299825,1.0,1.0,1.0,0.610871,0.097167104,0.45880058,0.87527245,1.0,0.59227026,0.35136938,0.38807082,0.2534376,0.12996499,0.11133087,0.17054617,0.082089886,0.083086066,0.3833407,0.90179247,1.0,1.0,1.0,1.0,1.0
F#,0.77869713,0.5547009,0.54702514,0.52376014,0.55030817,0.6890324,0.43494573,0.15432654,0.33880374,0.3922924,0.7011394,1.0,0.44120258,0.71455574,0.7371109,0.77540374,1.0,1.0,0.7843015,0.24798143,0.26091853,0.35867268,0.18393353,0.045429423,0.043942813,0.041158367,0.18019122,0.2091583,0.024747536,0.09176797,0.6163694,0.94474256,1.0,0.9997662,0.67748535,0.40438217,0.3111834,0.2223744,0.37050277,0.32827598,0.04934196,0.018192872,0.017009014,0.12885712,0.2883275,0.56239605,0.21576509,0.33443078,0.2003933,0.33426717,0.9215991,0.3546856,0.7324977,1.0,0.6789834,0.19146356,0.16473748,0.22539377,0.23103231,0.17586537,0.19798058,0.29235756,0.17111039,0.23868679,1.0,0.97330225,0.68292767,0.40118098,0.70898813,0.37779704,0.88199455
G,0.6057798,0.28824833,0.29417047,0.2858684,0.50325334,0.5021307,0.35194567,0.18146572,0.32732698,0.4185259,0.85711354,0.98224676,0.31985173,0.6120957,0.86899436,1.0,0.8886416,0.5831944,0.3775981,0.22490588,0.25698802,0.4912739,0.12083549,0.096554406,0.16702215,0.14534336,0.39420912,0.30735812,0.034862492,0.19428425,0.5618865,0.86264074,0.9674082,1.0,0.90362936,0.5666023,0.3364576,0.35004935,0.44133845,0.21429537,0.028738718,0.009675293,0.006598635,0.01286553,0.037071683,0.11701367,0.5223104,0.071762204,0.030643318,0.13908109,1.0,0.7975817,0.9603847,0.6669761,0.28185284,0.08285999,0.09442982,0.17766164,0.17305413,0.20993821,0.38088664,0.5587486,0.32371706,0.33489573,0.9248477,0.83040065,0.48722267,0.24664426,0.4528571,0.47288948,0.77087486
G#,0.5001152,0.22118108,0.21673593,0.20838407,0.55693126,0.37307364,0.27222514,0.37444934,0.5296761,0.8909515,1.0,0.7867897,0.37694672,0.49622935,0.5849288,0.7699625,0.8602912,0.5485741,0.37298477,0.22447494,0.31986728,0.5961649,0.13979807,0.26520428,1.0,1.0,1.0,0.1974682,0.037923407,0.27465042,0.67009467,1.0,0.8949456,0.8212773,1.0,0.936284,0.36556754,0.29030818,0.26018596,0.16056116,0.019894011,0.0076445458,0.014812833,0.017104385,0.0055388655,0.015877873,1.0,0.07358545,0.015861955,0.04528387,0.63869596,1.0,1.0,0.28680086,0.09892916,0.038256157,0.10487586,0.45661727,0.34655094,0.27681977,0.41990378,0.974039,1.0,1.0,0.8873285,0.76938874,0.41043127,0.42023584,0.3366034,0.8882426,0.6192573
A,0.63553286,0.26879492,0.12242615,0.14234535,0.4585355,0.348319,0.21040413,0.4797739,0.79671186,0.9340508,0.74683595,0.604291,0.39198834,0.8797273,0.4569525,0.37516424,0.5651435,0.5781892,0.47551584,0.28170484,0.40679562,0.7819898,0.10828732,0.03855934,0.22554222,0.27578783,0.25076658,0.05481956,0.020347755,0.2797322,0.97977436,0.88722867,0.7310377,0.6500709,0.69961536,1.0,0.42560607,0.35496017,0.2903744,0.15300988,0.030505033,0.010399047,0.0061755003,0.008496294,0.0036393777,0.008203737,0.76370895,0.06540907,0.012302832,0.021709248,0.21321505,0.5950023,0.5565452,0.108699076,0.066414416,0.030446278,0.12709843,0.41852042,0.4476239,0.94479626,1.0,1.0,0.52816397,0.4453454,0.6339662,0.50005287,0.22402425,0.30759907,0.24983539,0.85948354,0.49956203
